,,"58. Ôn tập phép nhân, phép chia"
,,59. Ôn tập hình học và đo lường
,,60. Ôn tập chung
,,
lớp 3,học kỳ 1,CHỦ ĐỀ 1: ÔN TẬP VÀ BỔ SUNG
,,1. Ôn tập các số trong phạm vi 1000
,,"2. Ôn tập phép cộng, phép trừ trong phạm vi 1000"
,,"3. Tìm thành phần trong phép cộng, phép trừ"
,,"4. Ôn tập bảng nhân 2, bảng chia 2, bảng nhân 5, bảng chia 5"
,,"5. Bảng nhân 3, bảng chia 3"
,,"6. Bảng nhân 4, bảng chia 4"
,,7. Luyện tập chung
,,
,,"CHỦ ĐỀ 2: BẢNG NHÂN, BẢNG CHIA TRONG PHẠM VI 1000"
,,"8. Bảng nhân 6, bảng chia 6"
,,"9. Bảng nhân 7, bảng chia 7"
,,"10. Bảng nhân 8, bảng chia 8"
,,"11. Bảng nhân 9, bảng chia 9"
,,12. Gấp một số lên một số lần
,,13. Giảm một số đi một số lần
,,14. Một phần mấy
,,15. Luyện tập chung
,,
,,CHỦ ĐỀ 3: HÌNH HỌC VÀ ĐO LƯỜNG
,,16. Điểm ở giữa. Trung điểm của đoạn thẳng
,,"17. Hình tròn. Tâm, bán kính, đường kính của hình tròn"
,,"18. Góc vuông, góc không vuông"
,,"19. Hình tam giác, hình tứ giác. Hình chữ nhật, hình vuông"
,,"20. Thực hành vẽ hình tròn, vẽ góc vuông, vẽ đường thẳng"
,,"21. Khối lập phương, khối hộp chữ nhật"
,,22. Luyện tập chung
,,
,,"CHỦ ĐỀ 4: PHÉP NHÂN, PHÉP CHIA TRONG PHẠM VI 100"
,,23. Nhân số có hai chữ số với số có một chữ số
,,24. Phép chia hết và phép chia có dư
,,25. Chia số có hai chữ số cho số có một chữ số
,,26. Chia số có ba chữ số cho số có một chữ số
,,27. Giảm một số đi một số lần (tiếp theo)
,,28. Luyện tập chung
,,
,,"CHỦ ĐỀ 5: MỘT SỐ ĐƠN VỊ ĐO ĐỘ DÀI, KHỐI LƯỢNG, DUNG TÍCH, NHIỆT ĐỘ"
,,29. Mi-li-mét. Đơn vị đo độ dài
,,30. Gam. Đơn vị đo khối lượng
,,31. Mi-li-lít. Đơn vị đo dung tích
,,32. Nhiệt độ. Đo nhiệt độ
,,33. Luyện tập chung
,,
,,CHỦ ĐỀ 6: ÔN TẬP HỌC KÌ I
,,"34. Ôn tập phép cộng, phép trừ trong phạm vi 1000"
,,"35. Ôn tập phép nhân, phép chia trong phạm vi 1000"
,,36. Ôn tập hình học và đo lường
,,37. Ôn tập chung
,,
,học kỳ 2,CHỦ ĐỀ 7: CÁC SỐ TRONG PHẠM VI 10 000
,,38. Các số có bốn chữ số. Số 10 000
,,39. So sánh các số trong phạm vi 10 000
,,"40. Làm tròn số đến hàng trăm, hàng nghìn"
,,41. Khám phá sa mạc (Thực hành và trải nghiệm)
,,42. Luyện tập chung
,,
,,"CHỦ ĐỀ 8: PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 10 000"
,,43. Phép cộng trong phạm vi 10 000
,,44. Phép trừ trong phạm vi 10 000
,,45. Luyện tập chung
,,
,,CHỦ ĐỀ 9: CÁC SỐ TRONG PHẠM VI 100 000
,,46. Các số có năm chữ số. Số 100 000
,,47. So sánh các số trong phạm vi 100 000
,,48. Làm tròn số đến hàng chục nghìn
,,49. Luyện tập chung
,,
,,"CHỦ ĐỀ 10: PHÉP CỘNG, PHÉP TRỪ TRONG PHẠM VI 100 000"
,,50. Phép cộng trong phạm vi 100 000
,,51. Phép trừ trong phạm vi 100 000
,,52. Luyện tập chung
,,
,,"CHỦ ĐỀ 11: PHÉP NHÂN, PHÉP CHIA TRONG PHẠM VI 100 000"
,,53. Nhân số có bốn chữ số với số có một chữ số
,,54. Chia số có bốn chữ số cho số có một chữ số
,,55. Nhân số có năm chữ số với số có một chữ số
,,56. Chia số có năm chữ số cho số có một chữ số
,,57. Luyện tập chung
,,
,,CHỦ ĐỀ 12: CÁC ĐƠN VỊ ĐO DIỆN TÍCH. THỜI GIAN. TIỀN VIỆT NAM
,,58. Diện tích của một hình. Xăng-ti-mét vuông
,,59. Diện tích hình chữ nhật
,,60. Diện tích hình vuông
,,61. Làm quen với chữ số La Mã
,,62. Tiền Việt Nam
,,63. Tháng - Năm. Xem lịch
,,"64. Xem đồng hồ. Giờ, phút, giây"
,,65. Luyện tập chung
,,
,,CHỦ ĐỀ 13: THỐNG KÊ SỐ LIỆU. KHẢ NĂNG XẢY RA CỦA MỘT SỰ KIỆN
,,"66. Thu thập, phân loại, ghi chép số liệu. Bảng số liệu thống kê"
,,67. Khả năng xảy ra của một sự kiện
,,68. Luyện tập chung
,,
,,CHỦ ĐỀ 14: ÔN TẬP CUỐI NĂM
,,69. Ôn tập các số trong phạm vi 100 000
,,"70. Ôn tập phép cộng, phép trừ trong phạm vi 100 000"
,,"71. Ôn tập phép nhân, phép chia trong phạm vi 100 000"
,,72. Ôn tập hình học và đo lường
,,73. Ôn tập một số yếu tố thống kê và xác suất
,,74. Ôn tập chung
,,
lớp 4,học kỳ 1,CHỦ ĐỀ 1: ÔN TẬP VÀ BỔ SUNG
,,1. Ôn tập các số đến 100 000
,,2. Ôn tập các phép tính trong phạm vi 100 000
,,"3. Số chẵn, số lẻ"
,,4. Biểu thức có chứa chữ
,,5. Giải bài toán có ba bước tính
,,6. Luyện tập chung
,,
,,CHỦ ĐỀ 2: SỐ TỰ NHIÊN
,,7. Các số có sáu chữ số. Hàng và lớp
,,8. Triệu. Lớp triệu
,,9. So sánh các số có nhiều chữ số
,,10. Làm tròn số đến hàng trăm nghìn
,,11. Luyện tập chung
,,12. Số tự nhiên. Hệ thập phân
,,13. Làm quen với chữ số La Mã (tiếp theo)
,,14. So sánh các số tự nhiên
,,15. Luyện tập chung
,,
,,CHỦ ĐỀ 3: SỐ ĐO ĐẠI LƯỢNG
,,"16. Yến, tạ, tấn"
,,"17. Giây, thế kỉ"
,,18. Mi-li-mét vuông
,,"19. Giây, thế kỉ (tiếp theo)"
,,20. Thực hành và trải nghiệm sử dụng một số đơn vị đo đại lượng
,,21. Luyện tập chung
,,
,,CHỦ ĐỀ 4: PHÉP CỘNG VÀ PHÉP TRỪ
,,22. Phép cộng các số có nhiều chữ số
,,23. Phép trừ các số có nhiều chữ số
,,"24. Tính chất giao hoán, tính chất kết hợp của phép cộng"
,,25. Tìm hai số khi biết tổng và hiệu của hai số đó
,,26. Luyện tập chung
,,
,,CHỦ ĐỀ 5: HÌNH HỌC PHẲNG
,,"27. Góc nhọn, góc tù, góc bẹt"
,,28. Đường thẳng vuông góc
,,29. Đường thẳng song song
,,"30. Thực hành vẽ đường thẳng vuông góc, đường thẳng song song"
,,31. Hình bình hành. Hình thoi
,,32. Luyện tập chung
,,
,,CHỦ ĐỀ 6: ÔN TẬP HỌC KÌ I
,,33. Ôn tập số tự nhiên
,,34. Ôn tập các phép tính với số tự nhiên
,,35. Ôn tập hình học và đo lường
,,36. Ôn tập chung
,,
,học kỳ 2,CHỦ ĐỀ 7: PHÉP NHÂN VÀ PHÉP CHIA
,,37. Phép nhân với số có một chữ số
,,38. Phép chia cho số có một chữ số
,,"39. Tính chất giao hoán, tính chất kết hợp của phép nhân"
,,"40. Nhân với 10, 100, 1000,... Chia cho 10, 100, 1000,..."
,,41. Nhân với số có hai chữ số
,,42. Tìm hai số khi biết tổng và hiệu của hai số đó (tiếp theo)
,,43. Phép chia cho số có hai chữ số
,,44. Thương có chữ số 0
,,45. Luyện tập chung
,,
,,CHỦ ĐỀ 8: PHÂN SỐ
,,46. Khái niệm phân số
,,47. Phân số và phép chia số tự nhiên
,,48. Phân số bằng nhau
,,49. Tính chất cơ bản của phân số
,,50. Rút gọn phân số
,,51. Quy đồng mẫu số các phân số
,,52. So sánh hai phân số
,,53. Luyện tập chung
,,
,,CHỦ ĐỀ 9: CÁC PHÉP TÍNH VỚI PHÂN SỐ
,,54. Phép cộng phân số
,,55. Phép trừ phân số
,,56. Luyện tập chung
,,57. Phép nhân phân số
,,58. Phép chia phân số
,,59. Tìm phân số của một số
,,60. Luyện tập chung
,,
,,CHỦ ĐỀ 10: SỐ ĐO ĐẠI LƯỢNG (TIẾP THEO)
,,"61. Mét vuông, đề-xi-mét vuông, xăng-ti-mét vuông"
,,62. Đơn vị đo diện tích (tiếp theo)
,,63. Thực hành và trải nghiệm ước lượng diện tích
,,64. Luyện tập chung
,,
,,CHỦ ĐỀ 11: MỘT SỐ YẾU TỐ THỐNG KÊ VÀ XÁC SUẤT
,,65. Biểu đồ cột
,,66. Dãy số liệu thống kê
,,67. Khả năng xảy ra của một sự kiện
,,68. Tìm số trung bình cộng
,,69. Tìm hai số khi biết tổng và tỉ số của hai số đó
,,70. Tìm hai số khi biết hiệu và tỉ số của hai số đó
,,71. Tỉ lệ bản đồ và ứng dụng
,,72. Luyện tập chung
,,
,,CHỦ ĐỀ 12: ÔN TẬP CUỐI NĂM
,,73. Ôn tập số tự nhiên và các phép tính
,,74. Ôn tập phân số và các phép tính với phân số
,,75. Ôn tập hình học và đo lường
,,76. Ôn tập một số yếu tố thống kê và xác suất
,,77. Ôn tập chung
,,
lớp 5,học kỳ 1,CHỦ ĐỀ 1: ÔN TẬP VÀ BỔ SUNG
,,1. Ôn tập số tự nhiên và các phép tính
,,2. Ôn tập phân số và các phép tính với phân số
,,3. Ôn tập hình học và đo lường
,,4. Giải bài toán có ba bước tính (tiếp theo)
,,5. Luyện tập chung
,,
,,CHỦ ĐỀ 2: SỐ THẬP PHÂN
,,6. Khái niệm số thập phân
,,"7. Hàng của số thập phân. Đọc, viết số thập phân"
,,8. Số thập phân bằng nhau
,,9. So sánh hai số thập phân
,,10. Làm tròn số thập phân
,,11. Viết các số đo đại lượng dưới dạng số thập phân
,,12. Luyện tập chung
,,
,,CHỦ ĐỀ 3: CÁC PHÉP TÍNH VỚI SỐ THẬP PHÂN
,,13. Phép cộng các số thập phân
,,14. Phép trừ các số thập phân
,,15. Luyện tập chung
,,16. Phép nhân số thập phân với số tự nhiên
,,"17. Nhân một số thập phân với 10, 100, 1000,..."
,,18. Phép nhân hai số thập phân
,,"19. Nhân một số thập phân với 0,1; 0,01; 0,001;..."
,,20. Tính chất của phép nhân số thập phân
,,21. Luyện tập chung
,,22. Phép chia số thập phân cho số tự nhiên
,,23. Chia một số tự nhiên cho một số tự nhiên thương là một số thập phân
,,"24. Chia một số thập phân cho 10, 100, 1000,..."
,,25. Chia một số tự nhiên cho một số thập phân
,,26. Phép chia hai số thập phân
,,"27. Chia một số thập phân cho 0,1; 0,01; 0,001;..."
,,28. Luyện tập chung
,,
,,CHỦ ĐỀ 4: HÌNH PHẲNG. HÌNH KHỐI VÀ ĐO LƯỜNG
,,29. Hình tam giác. Diện tích hình tam giác
,,30. Hình thang. Diện tích hình thang
,,31. Luyện tập chung
,,32. Khái niệm hình trụ. Khái niệm hình cầu
,,33. Ki-lô-mét vuông
,,34. Héc-ta
,,35. Luyện tập chung
,,
,,CHỦ ĐỀ 5: ÔN TẬP HỌC KÌ I
,,36. Ôn tập số thập phân và các phép tính với số thập phân
,,37. Ôn tập hình học và đo lường
,,38. Ôn tập chung
,,
,học kỳ 2,CHỦ ĐỀ 6: TỈ SỐ PHẦN TRĂM
,,39. Khái niệm tỉ số phần trăm
,,40. Tìm tỉ số phần trăm của hai số
,,41. Tìm giá trị phần trăm của một số
,,42. Giải bài toán về tỉ số phần trăm
,,43. Luyện tập chung
,,
,,CHỦ ĐỀ 7: HÌNH TRÒN. ĐƯỜNG TRÒN. BIỂU ĐỒ HÌNH QUẠT TRÒN
,,44. Hình tròn. Đường tròn
,,45. Chu vi hình tròn
,,46. Diện tích hình tròn
,,47. Luyện tập chung
,,48. Biểu đồ hình quạt tròn
,,49. Tìm số trung bình cộng (tiếp theo)
,,50. Luyện tập chung
,,
,,CHỦ ĐỀ 8: KHỐI HỘP CHỮ NHẬT. KHỐI LẬP PHƯƠNG. THỂ TÍCH
,,51. Diện tích xung quanh và diện tích toàn phần của hình hộp chữ nhật
,,52. Diện tích xung quanh và diện tích toàn phần của hình lập phương
,,53. Luyện tập chung
,,54. Khái niệm thể tích. Đơn vị đo thể tích
,,55. Xăng-ti-mét khối. Đề-xi-mét khối
,,56. Mét khối
,,57. Thể tích hình hộp chữ nhật
,,58. Thể tích hình lập phương
,,59. Luyện tập chung
,,
,,"CHỦ ĐỀ 9: SỐ ĐO THỜI GIAN. VẬN TỐC, QUÃNG ĐƯỜNG, THỜI GIAN TRONG TOÁN CHUYỂN ĐỘNG"
,,"60. Phép cộng, phép trừ số đo thời gian"
,,"61. Phép nhân, phép chia số đo thời gian"
,,62. Vận tốc
,,63. Quãng đường
,,64. Thời gian
,,65. Bài toán chuyển động đều (tiếp theo)
,,66. Luyện tập chung
,,
,,CHỦ ĐỀ 10: MỘT SỐ YẾU TỐ THỐNG KÊ VÀ XÁC SUẤT
,,67. Tỉ số và sơ đồ tỉ số
,,68. Biểu đồ hình quạt tròn (tiếp theo)
,,69. Khả năng xảy ra của một sự kiện (tiếp theo)
,,70. Sử dụng máy tính cầm tay
,,71. Luyện tập chung
,,
,,CHỦ ĐỀ 11: ÔN TẬP CUỐI NĂM
,,"72. Ôn tập số tự nhiên, phân số, số thập phân"
,,73. Ôn tập các phép tính số học
,,74. Ôn tập hình học và đo lường
,,75. Ôn tập toán chuyển động đều
,,76. Ôn tập một số yếu tố thống kê và xác suất
,,77. Ôn tập chung
